Name,Affiliation,Interests,Cited By,Profile URL
Dr. Purushottam Gangsar,IIT GUWAHATI,"Vibration & Rotor Dynamics, Condition Monitoring & Fault Diagnosis of …, Artificial Intelligence, Data Science",1633.0,https://scholar.google.com/citations?hl=en&user=FPMqptwAAAAJ
Manmohan Pandey,"Professor of Mechanical Engineering, Indian Institute of Technology Guwahati","boiling heat transfer, two-phase flow, nuclear reactor thermal hydraulics",1623.0,https://scholar.google.com/citations?hl=en&user=m9HJknEAAAAJ
Arijit Sur,"Professor, Dept. of Computer Science and Engineering, Indian Institute of Technology …","Computer Vision, Machine Learning, Medical Imaging, Adaptive Video Streaming",1620.0,https://scholar.google.com/citations?hl=en&user=-klnWqYAAAAJ
Tapas K Mandal,IIT Guwahati,"Multiphase flow, Micro & nano Fludic, Nanotechnology, Quantum Technology",1616.0,https://scholar.google.com/citations?hl=en&user=gLUgZTkAAAAJ
Prof. Chandan K. Jana,"Professor of Chemistry, IIT Guwahati",Organic Chemistry,1609.0,https://scholar.google.com/citations?hl=en&user=uoOH57YAAAAJ
Sukanta Pati,"Department of Mathematics, Indian Institute of Technology Guwahati, India","Linear Algebra, Graph Theory, Spectral Graph Theory",1607.0,https://scholar.google.com/citations?hl=en&user=nQC03gQAAAAJ
Sushanta Karmakar,"Professor of Computer Science, IIT Guwahati",Distributued Algorithm,1607.0,https://scholar.google.com/citations?hl=en&user=OsTpMV8AAAAJ
Anugrah Singh,Indian Institute of Technology Guwahati,"Rheology of complex fluids, computational fluid dynamics, experimental fluid dynamics",1602.0,https://scholar.google.com/citations?hl=en&user=DG3z334AAAAJ
Santosh Kumar,Indian Institue of Technology Guwahati,"Artifical Intelligence, Network Security, Machine learning",1598.0,https://scholar.google.com/citations?hl=en&user=QOP-HZ8AAAAJ
Rajan Choudhary,"Professor at Department of Civil Engineering, IIT Guwahati","Pavement Analysis and Design, Highway Construction and Quality Control, Sustainable Technologies for",1598.0,https://scholar.google.com/citations?hl=en&user=45WxuzcAAAAJ
Poonam Kumari,"Professor at Mechanical Engineering, IIT Guwahati","composites, smart materials and structures",1594.0,https://scholar.google.com/citations?hl=en&user=9W6UR3YAAAAJ
Prof. Gaurav Trivedi,"Professor of Electronics and Electrical Engineering, IIT Guwahati","VLSI, HPC, Hardware Security, Computer Architecture, Semiconductors",1588.0,https://scholar.google.com/citations?hl=en&user=FYI_9IwAAAAJ
Siddhartha Narayan Borah,"Assistant Professor, Biotechnology, Royal Global University. Post-Doc (IIT Guwahati)","Microbial Surfactants, Microbial Biotechnology, Environmental microbiology, Plant Pathology",1583.0,https://scholar.google.com/citations?hl=en&user=P1L8_RcAAAAJ
Kalishankar Bhattacharyya,Assistant Professor @ IIT Guwahati,"Computational Chemistry, Electrocatalysis, Photocatalysis, Machine Learning",1547.0,https://scholar.google.com/citations?hl=en&user=DONQcl4AAAAJ
Anamika Barua,IIT Guwahati,Environment and Economics,1526.0,https://scholar.google.com/citations?hl=en&user=YByehLYAAAAJ
Farrukh Khalid,"Assistant Professor, Indian Institute of Technology, Guwahati","Thermochemical Cycles, LCA, Technoeconomic, Integrated Energy Systems, Hydrogen Production",1512.0,https://scholar.google.com/citations?hl=en&user=eHJAwuwAAAAJ
Abhishek Kumar,"Indian Institute of Technology, Guwahati","Earthquake, seismic hazard, ground motion simulation, liquefaction hazard, earthquake early warning",1512.0,https://scholar.google.com/citations?hl=en&user=RM65YgoAAAAJ
Samit Bhattacharya,Indian Institute of Technology Guwahati,"Computer Science and Engineering, Human computer interaction, Augmented Reality, Virtual Reality",1484.0,https://scholar.google.com/citations?hl=en&user=iG_SLV8AAAAJ
Yachee Gupta,Indian Institute of Technology Guwahati,"Deep Learning, Artificial Intelligence",1467.0,https://scholar.google.com/citations?hl=en&user=sQipWjYAAAAJ
Saurabh Basu,"Professor of Physics, IIT Guwahati",Theoretical Condensed Matter Physics,1451.0,https://scholar.google.com/citations?hl=en&user=hSEYVF8AAAAJ
Kula Kamal Senapati,"Scientific Officer, IITGuwahati, Former Scientist, Tocklai Tea Research Institute","Biochemistry, Nanochemistry, Catalysis",1439.0,https://scholar.google.com/citations?hl=en&user=27XMrNsAAAAJ
Pamu Dobbidi,Indian Institute of Technology Guwahati,"high-k and low loss ceramics and thin films, ferroelectric",1423.0,https://scholar.google.com/citations?hl=en&user=cubNh5kAAAAJ
Boeing Laishram,IIT Guwahati,"Public Private Partnerships, Construction Management, Project Finance, Infrastructure Planning and Management",1404.0,https://scholar.google.com/citations?hl=en&user=p567i2YAAAAJ
Ashok Kumar Dasmahapatra,"Department of Chemical ERngineering, Indian Insitute of Technology Guwahati","Complex fluids, polymer physics, biological physics, nanoscience, structure-property relationship.",1397.0,https://scholar.google.com/citations?hl=en&user=72uPoEgAAAAJ
Ravindranath Adda,Indian Institute of Technology Guwahati,Power Electronics and Applications,1371.0,https://scholar.google.com/citations?hl=en&user=Oas6qLMAAAAJ
Prateek Vij,Indian Institute of Technology Guwahati,"Sentic Computing, Natural Language Processing, Machine Learning",1370.0,https://scholar.google.com/citations?hl=en&user=Kqrmj9YAAAAJ
Adil Hussain Seh,Institute Post Doctoral Fellow IIT Guwahati,"Cybersecurity, Machine Learning",1351.0,https://scholar.google.com/citations?hl=en&user=-MnwfkwAAAAJ
Amit Shelke,Indian Institute of Technology Guwahati,Structural Health Monitoring,1344.0,https://scholar.google.com/citations?hl=en&user=VOAu1jcAAAAJ
Ruchika Gupta,IIT Guwahati,"Secured NoC Designs, NoC based TCMP, Location Privacy, Data Security, Location Based Services",1341.0,https://scholar.google.com/citations?hl=en&user=We3__eMAAAAJ
Sayan Chakrabarti,"Associate Professor of Physics, IIT Guwahati",General Relativity,1331.0,https://scholar.google.com/citations?hl=en&user=5BhI0UwAAAAJ
SV Rao,Indian Institute of Technology Guwahati,"Computational Geometry, Wireless sensor networks",1327.0,https://scholar.google.com/citations?hl=en&user=MG2yMyoAAAAJ
Pankaj Kumar Mishra,"Associate Professor, Department of Physics, IIT Guwahati, India","Bose-Einstein Condensates, Turbulent Convection, Quantum turbulence, non-equilibrium statistical",1324.0,https://scholar.google.com/citations?hl=en&user=mnupjlEAAAAJ
DC Dalal,Indian Institute of Technology Guwahati,"Fluid Mechanics, CFD, Bio mathematics, Multiscale",1317.0,https://scholar.google.com/citations?hl=en&user=iY2h59cAAAAJ
Prabu Vairakannu,IIT Guwahati,"Combustion, Gasification",1314.0,https://scholar.google.com/citations?hl=en&user=AHJCGaUAAAAJ
Ashwini Kumar Sharma,"Professor, Department of Physcis, IIT Guwahati","Plasma Physics, Pulsed Laser Ablation and Deposition, Laser Induced Breakdown Spectroscopy, Plasmonics",1311.0,https://scholar.google.com/citations?hl=en&user=H-kqeboAAAAJ
Binoy Krishna Hazra,"Assistant Professor, Dept. of Physics, IIT Guwahati","Magnetism, Spintronics, Quantum materials",1306.0,https://scholar.google.com/citations?hl=en&user=pGlHMnYAAAAJ
Jatindra Kumar Deka,"Professor, CSE Department, IIT Guwahati",,1298.0,https://scholar.google.com/citations?hl=en&user=yCTfZRwAAAAJ
Sougata Karmakar,"Department of Design, Indian Institute of Technology (IIT) Guwahati","Ergonomics, Human Factors, Occupational health and Safety",1298.0,https://scholar.google.com/citations?hl=en&user=r4R2dksAAAAJ
Tarak Nath Dey,Indian Institute of Technology Guwahati,Quantum Optics,1286.0,https://scholar.google.com/citations?hl=en&user=2eVXyC4AAAAJ
Rajkumar P. Thummer,"Assistant Professor, Indian Institute of Technology Guwahati, Guwahati, Assam, India","Stem Cell Biology, Cell Reprogramming, Epigenetics, Cancer, Ageing",1264.0,https://scholar.google.com/citations?hl=en&user=O0N3ArYAAAAJ
Vibhav Bharadwaj,"Assistant Professor, Deptartment of Physics, Indian Institute of Technology (IIT) Guwahati","Femtosecond laser micromachining, Diamond quantum photonics, Ion implantation, Quantum Optics",1254.0,https://scholar.google.com/citations?hl=en&user=N6cl7a4AAAAJ
SIL Arunansu,"Faculty at Department of Physics, IIT Guwahati","High Energy Physics, Cosmology",1246.0,https://scholar.google.com/citations?hl=en&user=3HGfO_8AAAAJ
Sachin Singh Gautam,"Department of Mechanical Engineering, IIT Guwahati, Guwahati, Assam India","Computational Mechanics, Isogeometric Analysis, Contact, Fatigue, Machine Learning",1230.0,https://scholar.google.com/citations?hl=en&user=rW3-iDMAAAAJ
DR Nilufa Khatun,"Indian Institute of Technology Guwahati, Harimohan Ghose College Kolkata","CH activation, heterocycles synthesis, visible light mediated synthesis, Green Chemistry",1226.0,https://scholar.google.com/citations?hl=en&user=5oI_rnAAAAAJ
Prof. Pradip K. Das,IIT Guwahati,"Speech Processing, Pattern Recognition",1222.0,https://scholar.google.com/citations?hl=en&user=uR1apqsAAAAJ
Bosanta R. Boruah,"Professor of Physics, IIT Guwahati","Diffractive optics, Optical microscopy, High NA focusing",1188.0,https://scholar.google.com/citations?hl=en&user=3oCO7HYAAAAJ
Rishikesh Bharti,Indian Institute of Technology Guwahati,"Geoinformatics, Snow/Glaciers, Cryosphere, Glaciology, Natural Hazards",1187.0,https://scholar.google.com/citations?hl=en&user=_HClKrEAAAAJ
Dr. Abhijit Kakati,"Assistant Professor, Chemical Engineering, IIT Guwahati","EOR, Rock-fluid Interaction, Demulsification, Flow Assurance, Advance Materials",1167.0,https://scholar.google.com/citations?hl=en&user=TOpF3JIAAAAJ
Dilwar Hussain,Indian Institute of Technology Guwahati,"Positive Psychology, Psychology of Trauma",1165.0,https://scholar.google.com/citations?hl=en&user=1abktYAAAAAJ
Arupjyoti Saikia,Indian Institute of Technology Guwahati,"Envrionmental History & Political History of …, Environmental History of Brahmaputra, Forests and Ecological History",1161.0,https://scholar.google.com/citations?hl=en&user=yRXBn_sAAAAJ
Dr. Th Babita Devi,Postdoctoral Researcher at  Indian Institute of Technology Guwahati,"Nanomaterial, catalyst, adsorption, cancer-biology",1160.0,https://scholar.google.com/citations?hl=en&user=iNheke4AAAAJ
