Name,Affiliation,Interests,Cited By,Profile URL
Vimalraj Selvaraj,"Assistant Professor (DST-INSPIRE Faculty, SERB-SRS) Dept. of Appl. Mech & Biomed. Eng …","Tumor angiogenesis, Transgenic Zebrafish, Bone biology, Stem cell biology, Biomaterials and tissue",6834,https://scholar.google.com/citations?hl=en&user=ZFTqPpYAAAAJ
Mathava Kumar,"Department of Civil Engineering, Indian Institute of Technology Madras","Water Purification, Wastewater Treatment, Biorememdiation",6807,https://scholar.google.com/citations?hl=en&user=Wan6DykAAAAJ
Anurag Mittal,"Professor of Computer Science and Engg., IIT Madras, INDIA","Computer Vision, Image Processing",6497,https://scholar.google.com/citations?hl=en&user=mB9AZSAAAAAJ
Varadaraju Upadhyayula,IIT Madras,"Solid State Chemistry, Materials Chemistry, Materials Science, Condensed Matter, Electrochemical Energy Systems",6390,https://scholar.google.com/citations?hl=en&user=uApUuykAAAAJ
Dr. Sushanta Kumar Panigrahi,"Professor, Mechanical Engineering Department, IIT Madras, Chennai, India","Innovative Material Processing, Mg and Al Technologies, Advanced Casting, Metal Forming and Sheet Ma",6358,https://scholar.google.com/citations?hl=en&user=NY2YuLMAAAAJ
Sathyanarayana N. Gummadi,IIT Madras,"Bio process engineering, protein biochemistry, membrane biogenesis and signalling",6269,https://scholar.google.com/citations?hl=en&user=xC2McNUAAAAJ
Hema A Murthy,"Professor of Computer Science and Engineering, IIT Madras","speech processing, speech synthesis, music processing, neuronal signal processing, machine learning",6258,https://scholar.google.com/citations?hl=en&user=AQ8w2uEAAAAJ
Ramesh K,"Professor of Applied Mechanics, IIT Madras and Formerly Professor of Mechanical Engg. IIT …","Stress analysis, Digital Photoelasticity, Fracture Mechanics",6192,https://scholar.google.com/citations?hl=en&user=T1XFjTkAAAAJ
Somnath C Roy,"Professor, Department of Physics, IIT Madras",,6085,https://scholar.google.com/citations?hl=en&user=d-UUwoQAAAAJ
Shweta Agrawal,Indian Institute of Technology Madras,Cryptography,6072,https://scholar.google.com/citations?hl=en&user=uLkJ5_4AAAAJ
