Name,Affiliation,Interests,Cited By,Profile URL
Sumanta Samal,"Department of Metallurgical Engineering and Materials Science, Indian Institute of …",,1946.0,https://scholar.google.com/citations?hl=en&user=_ovvQcQAAAAJ
Sandesh S. Chougule,Indian Institute of Technology Indore,"Nanomaterials, Solar Energy, Heat Pipes, Jet Impingement, Electronics Cooling",1920.0,https://scholar.google.com/citations?hl=en&user=sygGWRsAAAAJ
Pushpa Choudhary,"Assistant Professor, IIT Indore","Road Safety, Intelligent Transportation System, Road user behaviour, Human factors in Transportation",1908.0,https://scholar.google.com/citations?hl=en&user=unUZoZAAAAAJ
Dr. Bhargav Vaidya,"Associate Professor, IIT Indore",,1882.0,https://scholar.google.com/citations?hl=en&user=oc97opEAAAAJ
Prakash Gaikwad,"Assistant Professor, Indian Institute of Technology, Indore, India","Cosmology, Astrophysics, Intergalactic Medium, Galaxy Formation and Evolution",1867.0,https://scholar.google.com/citations?hl=en&user=00RA_t8AAAAJ
Swaminathan Ramabadran,Indian Institute of Technology Indore,"Wireless Communications, Communication Systems",1846.0,https://scholar.google.com/citations?hl=en&user=clwEnRYAAAAJ
Selvakumar Sermadurai,"Associate Professor, IIT Indore","Asymmetric synthesis, Photoredox, Hypervalent iodine, Radical chemistry, Dual Catalysis",1827.0,https://scholar.google.com/citations?hl=en&user=0tcJGwEAAAAJ
Dr. Surya Prakash,"Professor, Indian Institute of Technology Indore","Ear Recognition, Biometrics, Pattern Recognition, Computer Vision, Image Processing",1815.0,https://scholar.google.com/citations?hl=en&user=pqP66FLxeBMC
Abhijeet Joshi,IIT Indore,"Biosensor, Nanomedicine, Biomaterials",1778.0,https://scholar.google.com/citations?hl=en&user=xphbhZkAAAAJ
Dr. Trapti Jain,"Electrical Engineering, IIT Indore",Power system security analysis,1717.0,https://scholar.google.com/citations?hl=en&user=gPlaMBMAAAAJ
Dr. Prabhat Gautam,IIT Indore,donor acceptor systems,1710.0,https://scholar.google.com/citations?hl=en&user=kJS_UpMAAAAJ
PRADEEP KUNDU,"Assistant Professor, IIT Indore","Industrial AI, Digital Twin, Smart Manufacturing, Condition Monitoring, Quality Control",1691.0,https://scholar.google.com/citations?hl=en&user=mx4YjS8AAAAJ
Ankur Miglani,"Associate Professor, Indian Institute of Technology, Indore, Purdue University, KAIST","Droplet combustion, Thermal management of electronics, Hydraulics",1564.0,https://scholar.google.com/citations?hl=en&user=6ABZdEoAAAAJ
Dr. Umesh A. Kshirsagar,"Associate Professor, Indian Institute of Technology Indore, Indore.",Synthetic Organic Chemistry,1553.0,https://scholar.google.com/citations?hl=en&user=8vewZAUAAAAJ
Devendra Deshmukh,Indian Institute of Technology Indore (IIT-Indore),"Renewable Fuels, Sprays, IC Engine",1547.0,https://scholar.google.com/citations?hl=en&user=KJsV7yQAAAAJ
Naresh Kumar Kumawat,"Department of Physics, IIT Indore, India","Perovskite, Light-emitting diodes, Nanocrystals, Photovoltaics, Device physics",1537.0,https://scholar.google.com/citations?hl=en&user=69VqlgIAAAAJ
Hari Hablani,"courtesy faculty, Department of Astronomy, Astrophysics and Space Engineering, IIT Indore","Space Flight Vehicles Guidance, Navigation and Control",1534.0,https://scholar.google.com/citations?hl=en&user=wiB8pR4AAAAJ
Dipak Kumar Roy,Indian Institute of Technology Indore,,1496.0,https://scholar.google.com/citations?hl=en&user=kNdvoWEAAAAJ
Preeti A. Bhobe,"Department of Physics, Indian Institute of Technology Indore","XAFS, Magnetism, Magneto-transport, 2D materials",1450.0,https://scholar.google.com/citations?hl=en&user=ilJTPOsAAAAJ
Dr. Dhirendra K. Rai,"Associate Professor, Department of Metallurgical Engineering and Materials Science, IIT …","Batteries & Supercapacitors, Electrocatalysis, Hydrovoltaics, Ionotronics, CO₂ Utilization",1401.0,https://scholar.google.com/citations?hl=en&user=pFwwR8UAAAAJ
Ruchi Sharma,IIT Indore,"R&D, Patenting, Patent Policy, FDI",1384.0,https://scholar.google.com/citations?hl=en&user=8sNvovEAAAAJ
Somnath Dey,"Professor, IIT Indore","Biometrics, HCI",1378.0,https://scholar.google.com/citations?hl=en&user=rjzlx8wAAAAJ
Puneet Gupta,"Associate Professor, IIT Indore","Image processing, Computer vision, Affective computing, Deep Learning",1373.0,https://scholar.google.com/citations?hl=en&user=yUB8lNsAAAAJ
Santosh S. Hosmani,"Professor at Department of Metallurgical Engineering and Materials Science, IIT Indore","Surface Engineering, Tribology, Gradient Nanostructured Alloys, SMAT, Metallurgy",1368.0,https://scholar.google.com/citations?hl=en&user=FgkqmiYAAAAJ
amit shukla,IIT Indore,,1351.0,https://scholar.google.com/citations?hl=en&user=A-bgSX5TSyMC
Jayaprakash Murugesan,"Associate Professor, MEMS, IIT Indore","Mechanical behaviour of materials, welding, Materials Science and Engineering",1324.0,https://scholar.google.com/citations?hl=en&user=QpLQQqsAAAAJ
Mayur Shirish Jain,"Associate Professor, Indian Institute Of Technology Indore","Anaerobic Digestion, Biochar, Composting, Nature-based Solutions (NbS)",1324.0,https://scholar.google.com/citations?hl=en&user=cOzU0joAAAAJ
Abhijit Ghosh,"Assistant Professor, IIT Indore","Crystallographic texture, Fracture, Creep, Steel",1262.0,https://scholar.google.com/citations?hl=en&user=P9nZOBsAAAAJ
Amod C Umarikar,"Professor, Electrical Engineering, IIT Indore",Power Electronics,1239.0,https://scholar.google.com/citations?hl=en&user=ITTM4-wAAAAJ
Saurabh Das,"Astronomy, Astrophysics and Space Engineering, IIT Indore","Rain Attenuation, Precipitation microphysics, GNSS Remote Sensing, Space Weather, Ionosphere",1230.0,https://scholar.google.com/citations?hl=en&user=XgMJtTcAAAAJ
Archana R Kanwade,"Department of Metallurgical Engineering and Materials Science, IIT Indore","Sodium-ion Battery, Supercapacitor, Energy Storage Devices",1214.0,https://scholar.google.com/citations?hl=en&user=OEdsMngAAAAJ
Dipankar Das,"Indian Institute of Technology, Indore","High Energy Physics, Theoretical Particle Physics",1193.0,https://scholar.google.com/citations?hl=en&user=ZD9qBFIAAAAJ
Dr. Mrigendra Dubey,Indian Institute of Technology Indore,"Soft Materials, Metallogels, Stimuli-responsive, Superabsorbent Superhydrophobi Materials, Corrosion",1179.0,https://scholar.google.com/citations?hl=en&user=9P83G5AAAAAJ
Subhendu Rakshit,"Professor of Physics, IIT Indore",Particle Physics,1174.0,https://scholar.google.com/citations?hl=en&user=8a-AuBYAAAAJ
Sudeshna Chattopadhyay (Bandyopadhyay),Indian Institute of Technology Indore,"Condensed matter physics, Materials science",1149.0,https://scholar.google.com/citations?hl=en&user=0yKMRxgAAAAJ
Bhupesh Kumar Lad,IIT Indore,"Reliability Engineering, Smart Manufacturing",1120.0,https://scholar.google.com/citations?hl=en&user=rWYpsIwAAAAJ
Bapan Ghosh,"Associate Professor, Department of Mathematics, Indian Institute of Technology Indore …","Dynamical Systems, Mathematical Ecology and Epidemiology, Delay and Fractional Differential Equations",1089.0,https://scholar.google.com/citations?hl=en&user=VdQttGQAAAAJ
Nagendra  Kumar,"Associate Professor, Computer Science and Engineering, IIT Indore","Deep Learning, Machine Learning, NLP, Computer Vision, Social Network Analysis",1064.0,https://scholar.google.com/citations?hl=en&user=lCP4ZqMAAAAJ
Ravinder Bhattoo,"Assistant Professor, Indian Institute of Technology Indore","Structural analysis and design, Machine learning, Peridynamics, Molecular dynamics, Material science",1060.0,https://scholar.google.com/citations?hl=en&user=lPTdGRMAAAAJ
Dr. Abhishek Rajput,"Asst. Professor & Head, Department of Civil Engineering, Indian Institute of Technology (IIT) …","Structural and Impact Mechanics, Finite Element Analysis, Prestressed and Reinforced Concrete Design",1036.0,https://scholar.google.com/citations?hl=en&user=IYPsJRQAAAAJ
Harekrishna  Yadav,"Associate Professor, Indian Institute of Technology Indore","Fluid Flow, Heat Transfer",1006.0,https://scholar.google.com/citations?hl=en&user=RcoU89oAAAAJ
Ayan Mondal,"Assistant Professor, CSE, IIT Indore","Internet of Things (IoT), Edge-Cloud Continuum, SDN, 6G Networks, Quantum Networks",1005.0,https://scholar.google.com/citations?hl=en&user=2DCxcnkAAAAJ
