Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Anuj Sharma,Indian Institute of Technology Roorkee,Synthetic organic chemistry,4280,https://scholar.google.com/citations?hl=en&user=wNkUDNIAAAAJ,37,90
Sanjay Kumar Ghosh,"Professor & Former HOD, Civil Engineering, IIT Roorkee, Roorkee, Member BOG","GIS, Remote Sensing, Image Processing of digital data, Algorithm development, soft classification of",4273,https://scholar.google.com/citations?hl=en&user=3niZkn8AAAAJ,29,74
Narayan Chandra Mishra,Indian institute of Technology Roorkee,,4271,https://scholar.google.com/citations?hl=en&user=Bo8n8tMAAAAJ,33,52
Ashish Mohan Yadav,IIT Roorkee,"Distributed computing, optimization",4257,https://scholar.google.com/citations?hl=en&user=6DjY1sEAAAAJ,34,86
Dr. Bhavesh Bhalja,Indian Institute of Technology Roorkee,"Digital Protection & Automation, Impact of Distributed Generation, Smart Grid/ Micro and its application",4247,https://scholar.google.com/citations?hl=en&user=mPb3mAkAAAAJ,35,104
Dr SH Upadhyay,"Professor, Mechanical & Industrial Engineering Department, Indian Institute of Technology","Nonlinear Dynamics & Vibrations, Rolling Element Bearings, Fault Diagnostic and Prognostic, Smart material and Structure and Nan",4195,https://scholar.google.com/citations?hl=en&user=LurICscAAAAJ,31,67
Dr GD Ransinchung RN,Professor in Civil Engineering Department IIT Roorkee,Transportation Engineering,4177,https://scholar.google.com/citations?hl=en&user=R3LdJ7gAAAAJ,38,84
Umesh Kumar Sharma,"Professor, Civil Engineering Department, Indian Institute of Technology Roorkee",Structural Engineering,4164,https://scholar.google.com/citations?hl=en&user=rlB1U6YAAAAJ,34,112
Ashok K. Jain,"Advisor, AINST, Amity Noida; Formerly Professor, IITRoorkee",Nuclear Physics,4159,https://scholar.google.com/citations?hl=en&user=oFoCl-IAAAAJ,29,111
Prof. Ram Jiwari,"Professor, Department of Mathematics, Indian Institute of Technology Roorkee","Numerical Analysis, Finite Element Methods, HHO Methods, Wavelets Analysis, Machine Learning",4139,https://scholar.google.com/citations?hl=en&user=lSX3PyIAAAAJ,37,91
Ashish Kumar,"Reasearch scholar, IIT Roorkee",Organic synthesis & Catalysis,4108,https://scholar.google.com/citations?hl=en&user=1UbfaJkAAAAJ,24,109
Vimal Kumar,"Professor, Department of Chemical Engineering, Indian Institute of Technology Roorkee","Computational Modelling of Multiphasic …, Rheology of Complex Fluids, Interfacial Phenomena",4091,https://scholar.google.com/citations?hl=en&user=N_xTKpAAAAAJ,34,55
Monojit Bag,"IITR, Roorkee, Uttarakhand, India","Polymer solar cells, Organic electronics",4067,https://scholar.google.com/citations?hl=en&user=nPuuP64AAAAJ,31,62
Sudipta Sarkar,"Professor, Department of Civil Engineering, Indian Institute of Technology Roorkee, India","Nutrient recycling, Wastewater treatment, Trace contaminant removal, Environmental Nanotechnology",4053,https://scholar.google.com/citations?hl=en&user=a-zZ70EAAAAJ,28,46
Barjeev Tyagi,"Professor, Department of Electrical Engineering. Indian Institute of Technology Roorkee",,4035,https://scholar.google.com/citations?hl=en&user=KIQNSh4AAAAJ,31,77
Dharm Dutt,"Department of Paper Technology, Indian Institute of Technology Roorkee","Biotechnology, Paper Technology, Industrial Microbiology",4014,https://scholar.google.com/citations?hl=en&user=FyRaqFAAAAAJ,35,88
Dr. Paritosh Mohanty,"Professor, Department of Chemistry, IIT Roorkee","Materials Chemistry, Nanoporous Materials, Carbon Dioxide Capture and utilization, Nanoscience and Nanotechnology",4009,https://scholar.google.com/citations?hl=en&user=MDUxqyIAAAAJ,36,84
Professor Pradeep Kumar Jha,"Dept of Mech & Ind Engg, IIT Roorkee","Metal casting, Tundish steelmaking, Metal matrix composites",4004,https://scholar.google.com/citations?hl=en&user=2t31j2sAAAAJ,30,79
Mukat Lal Sharma,"Department of Earthquake Enigneering, Indian Institute of Technology Roorkee","Strong ground motion, Engineering Seismology, Seismic Hazard assessment, DInSAR, Earthquake Engineering",4000,https://scholar.google.com/citations?hl=en&user=pQ6AYIYAAAAJ,33,86
Ramesh Anbanandam,"Professor, IIT Roorkee","Humanitarian Supply Chain Management, Sustainable Multi-modal Transportation, Cyber Physical Systems",3970,https://scholar.google.com/citations?hl=en&user=wj2fd9gAAAAJ,33,47
