Name,Affiliation,Interests,Cited By,Profile URL
Sanjeev Saxena,Indian Institute of Technology,"Algorithms, Graph Theory, Computational Geometry, Linear Programming, Combinatorics",364.0,https://scholar.google.com/citations?hl=en&user=Ay4Yr28AAAAJ
aditi sharma,Indian Institute of Technology Kanpur,,364.0,https://scholar.google.com/citations?hl=en&user=aGxvSDkAAAAJ
Alok Ranjan Verma,Indian Institute of Technology Kanpur,"High Voltage Engineering, Power Engineering",360.0,https://scholar.google.com/citations?hl=en&user=mtnScSUAAAAJ
Debjani Banerjee,"Department of Chemical Engineering, Indian Institute of Technology Kanpur","Physics, Chemical Engineering",359.0,https://scholar.google.com/citations?hl=en&user=XlI7wIUAAAAJ
Rahul Kumar Jaiswal,Indian Institute of Technology Kanpur,"Endfire CP Antenna, MIMO Antenna, Reconfigurable Antenna, Base Station Antenna",359.0,https://scholar.google.com/citations?hl=en&user=tDWvgM8AAAAJ
Akash Anand,"Indian Institute of Technology at Kanpur, India",,357.0,https://scholar.google.com/citations?hl=en&user=0S-kkFQAAAAJ
Mohammad Arshad Rahman,"Associate Professor, Economic Sciences, IIT Kanpur","Bayesian Econometrics, Quantile Regression, Discrete Choice Models, Panel Data Models",355.0,https://scholar.google.com/citations?hl=en&user=z3gXB_gAAAAJ
Kuppan M,Indian Institute of Technology Kanpur,Material science and Magnetic Materials,353.0,https://scholar.google.com/citations?hl=en&user=9PlmXX8AAAAJ
Vishal Kapoor,"Sr. Project Executive Officer, CGRB, IIT Kanpur","Ethnobotany, Downstream Processing, Enzymology, Aquatic Biodiversity",352.0,https://scholar.google.com/citations?hl=en&user=aiH2F6gAAAAJ
Prof Rakesh Kumar Bansal,"Emeritus Fellow, IIT Kanpur","Universal compression, change detection",351.0,https://scholar.google.com/citations?hl=en&user=hBtqqDoAAAAJ
Dr. Dibakar Ghosal,"Associate Professor, IIT Kanpur","Exploration Seismology, Tectonics, FWI, Tomography, Modelling and Inversion",350.0,https://scholar.google.com/citations?hl=en&user=PD6ywyIAAAAJ
Akash Mondal,IIT Kanpur,Organometallics and Catalysis,350.0,https://scholar.google.com/citations?hl=en&user=7cgyB8UAAAAJ
Dr Gururaj Mirle Vishwanath,Assistant Professor at IIT Kanpur,"DFIG wind system, AC-DC Hybrid Microgrid, Voltage control of the distribution system",348.0,https://scholar.google.com/citations?hl=en&user=IervT8oAAAAJ
Binod Dhakal,IIT Kanpur; VIT Vellore; University of Madras,"Titanium Alloys, Surface Engineering, Gradient Microstructure, Mechanical Behavior, EBSD-TEM",344.0,https://scholar.google.com/citations?hl=en&user=AVcRsOAAAAAJ
Anupama Rajoriya,"Indian Institute of Technology, Kanpur",,343.0,https://scholar.google.com/citations?hl=en&user=d8pUcXAAAAAJ
Bansi Lal,"CSO, IIT Kanpur (Retired)",Materials for white light sources,338.0,https://scholar.google.com/citations?hl=en&user=tG-7fWcAAAAJ
suresh gurjar,Indian Institute of Technology Kanpur,"Eco-hydrology, River Hydrology, Water Quality Assessment, Municipal Solid Waste Management",337.0,https://scholar.google.com/citations?hl=en&user=gpi_H5oAAAAJ
Ajithkumar Manayan Parambil,"Project Scientist, Indian Institute of Technology Kanpur","Polymer Chemistry, Nanoparticles, Gas Sensors, Biomolecule Sensors",335.0,https://scholar.google.com/citations?hl=en&user=31w_NvsAAAAJ
Priyamvadah Kinth,"Project Scientist, IIT Kanpur","Scientometric studies, policy and innovation studies and …",333.0,https://scholar.google.com/citations?hl=en&user=MoQZlSUAAAAJ
Dr. Avinash Kumar Sonkar,IIT Kanpur,,330.0,https://scholar.google.com/citations?hl=en&user=qUyPuYgAAAAJ
Archana Rajput,"Department of Electrical Engineering, Indian Institute of Technology, Kanpur","Transformation Electromagnetics, Invisibility/Cloaking, Metamaterials",326.0,https://scholar.google.com/citations?hl=en&user=mRhfClEAAAAJ
ashish gupta,"Research Engineer, Indian Institute of Technology, Kanpur",Organic Semiconductor,317.0,https://scholar.google.com/citations?hl=en&user=pXnH__cAAAAJ
Twinkle Tripathy,"Assistant Professor, IIT Kanpur","Cooperative control, Guidance and Control, Autonomous Systems, Multi-agent systems, Control Systems",317.0,https://scholar.google.com/citations?hl=en&user=lLuWK2UAAAAJ
Deep Mukherjee,"Professor, RV University; Associate Professor, IIT Kanpur","Agricultural Economics, Environmental Economics, Efficiency & Productivity Analysis, Public Policy",317.0,https://scholar.google.com/citations?hl=en&user=gyiyQzIAAAAJ
