Name,Affiliation,Interests,Cited By,Profile URL
Yogendra Singh,"Professor, Department of Earthquake Engineering, IIT Roorkee","Structural Engineering, Earthquake Engineering, Reinforced Concrete, Seismic Vulnerability, Seismic Risk",3315,https://scholar.google.com/citations?hl=en&user=bkR4wHsAAAAJ
Prof. Praveen Kumar,"Deputy Director, IITR and Professor & Ex Head, Civil Engg., IIT Roorkee, (Ex Director, NIT …","Rural Roads, Bituminous Binders, Warm Mix Asphalt, Modified Binders, Reclaimed Asphalt Pavement",3292,https://scholar.google.com/citations?hl=en&user=s8uuUxkAAAAJ
Kaushik Ghosh,"Professor, IIT Roorkee","Coordination Chemistry, Inorganic biochemistry",3266,https://scholar.google.com/citations?hl=en&user=QEd2fYEAAAAJ
Siva Mohan Reddy,"Associate Professor, Indian Institute of Technology, Roorkee, India","renewable fuels, Supercritical fluids, Waste Incineration etc.",3258,https://scholar.google.com/citations?hl=en&user=LwOrbKUAAAAJ
GN Pillai,"Professor, Department of Electrical Engineering, IIT Roorkee","Artificial Neural Networks and Learning …, Fuzzy Logic, Intelligent Control, Control Application in Power Systems",3258,https://scholar.google.com/citations?hl=en&user=5rz79-AAAAAJ
Brijesh Kumar Yadav,"Professor & Former Head, Department of Hydrology, IIT Roorkee","Groundwater modeling, Bioremediation, Phytoremediation, Plant water uptake, ANN",3256,https://scholar.google.com/citations?hl=en&user=ct4MOYEAAAAJ
Manoj Tripathy,IIT Roorkee,"AI application in Power System Protection & …, Numerical/Digital Relays, Cyber Security",3235,https://scholar.google.com/citations?hl=en&user=BKb2YKkAAAAJ
Rahul S Mulik,"Professor, MIED, IIT Roorkee, India","superfinishing, machining (Conventional & NTM), Rapid prototyping, FSW/FSP, MMC&Coating",3220,https://scholar.google.com/citations?hl=en&user=3FvUR1cAAAAJ
Zulfequar Ahmad,"Professor of Civil Eng., IIT Roorkee, India","Channel and Fluvial Hydraulics, River Engineering, Hydraulic Structures",3218,https://scholar.google.com/citations?hl=en&user=k1W_nvcAAAAJ
Dr. Shiv Prasad Yadav,"Professor (Retired), Deptt. of Mathematics, IIT Roorkee, Roorkee-247667, India","Operations Research, Fuzzy Data Envelopment Analysis, Fuzzy Reliability, Optimal Control Theory",3210,https://scholar.google.com/citations?hl=en&user=Rt8Ad7gAAAAJ
Amit Kumar Dhiman,"Professor, Department of Chemical Engineering, Indian Institute of Technology Roorkee","Computational Fluid Dynamics (CFD), Non-Newtonian Fluid Flow and Heat Transfer, Bluff Body Flow",3165,https://scholar.google.com/citations?hl=en&user=2_LJAowAAAAJ
Dr. Saugata Hazra,"Professor, Indian Institute of Technology Roorkee (IITR)",AMR · Ser and metallo-β-lactamase …,3128,https://scholar.google.com/citations?hl=en&user=SMMGjyUAAAAJ
JKNAYAK,"Professor, Management Studies, IIT Roorkee","B2B Marketing, Pricing, Sustainable marketing",3106,https://scholar.google.com/citations?hl=en&user=FhCTN0kAAAAJ
B. Parkash,Professor retired from IIT Roorkee,"Sedimentology, Geomorphology",3063,https://scholar.google.com/citations?hl=en&user=RMgAig8AAAAJ
Arup Kumar Das,"Department of Mechanical and Industrial Engineering, IIT Roorkee","Two Phase Flow, Microfluidics, Fire Dynamics",3040,https://scholar.google.com/citations?hl=en&user=ovt0bKgAAAAJ
Naveen Kumar Navani,"Professor, Chemical Biology Group, Indian Institute of Technology, Roorkee, India","biosensors, probiotics, nanobiotechnology",3026,https://scholar.google.com/citations?hl=en&user=_P3g6ZMAAAAJ
Dr. Debasis Banerjee,"Indian Institute of Technology Roorkee (IITR), Roorkee","Organic Synthesis, Non-precious metal catalysis, Enantioselective Synthesis, Sustainable Catalysis",3021,https://scholar.google.com/citations?hl=en&user=PZpEqZ8AAAAJ
Govinda Mishra,"Professor of WRDM , IIT ROORKEE","Ground Water, Seepage, Drainage Engineering",2993,https://scholar.google.com/citations?hl=en&user=iOUhQs4AAAAJ
Rajesh Srivastava,"Professor of Physics, Indian Institute of Technology Roorkee",Atomic and Molecular Physics,2985,https://scholar.google.com/citations?hl=en&user=96RE14YAAAAJ
Manish Mishra,"Professor, Mechanical & Industrial Engineering Department, Indian Institute of technology …","Heat Transfer Enhancement, Heat exchangers, Solar Thermal, Solid desiccant cooling, Optimization of thermal systems",2977,https://scholar.google.com/citations?hl=en&user=r4CJ-_kAAAAJ
Neetesh Kumar,"Associate Professor, IIT Roorkee","Cloud Computing, AI, Autonomous Driving, Cyber Physical Systems, Intelligent Transportation Systems",2976,https://scholar.google.com/citations?hl=en&user=Ut_l01AAAAAJ
Rama Krishna Peddinti,"Professor, Department of Chemistry, Indian Institute of Technology Roorkee","Organic Chemistry, Asymmetric Synthesis",2974,https://scholar.google.com/citations?hl=en&user=8dTD1RwAAAAJ
Udai Singh,"Department of Chemistry, IIT Roorkee",Inorganic Chemistry,2961,https://scholar.google.com/citations?hl=en&user=mjf3A0UAAAAJ
Dr.(Mrs.)Shashi Kumar,"Former Professor, Department of Chemical Engg., IIT Roorkee","Modelling and Simulation of Chemical …, Transfer Processes, Computer Aided Process and Plant Design, Membrane Processes",2947,https://scholar.google.com/citations?hl=en&user=s2euakQAAAAJ
Gajanan Chaudhari,"Professor of Metallurgical and Materials Eng, Indian Institute of Technology Roorkee India","corrosion, metallic materials",2918,https://scholar.google.com/citations?hl=en&user=owRCTzUAAAAJ
CP Gupta,"Professor, Indian Institute of Technology, Roorkee",Power Systems,2828,https://scholar.google.com/citations?hl=en&user=JC-bC4MAAAAJ
varun sharma,Indian Institute of Technology Roorkee,"Conventional and Non conventional …, Rapid Prototyping and its applications",2810,https://scholar.google.com/citations?hl=en&user=TvwWrhcAAAAJ
Sateesh Kumar Peddoju,"Indian Institute of Technology Roorkee, India","Cyber Security, Internet of Things, Edge Computing, Cloud Computing",2806,https://scholar.google.com/citations?hl=en&user=iMMhgycAAAAJ
Anil Kumar,Indian Institute of Technology Roorkee,Nanotechnology,2766,https://scholar.google.com/citations?hl=en&user=m1baGBcAAAAJ
Ram Prakash Bharti,"Professor, Department of Chemical Engineering, IIT Roorkee","Fluid Dynamics, Microfluidics, Rheology, Electrokinetic Flows, Heat Transfer",2736,https://scholar.google.com/citations?hl=en&user=vsLU3tcAAAAJ
Nikhil Saboo,"Associate Professor, Indian Institute of Technology, Roorkee","Pavement Materials, Design and Analysis",2721,https://scholar.google.com/citations?hl=en&user=BJNX6_gAAAAJ
Ravita Lamba,"Assistant Professor, Indian Institute of Technology Roorkee","Solar Energy, Modeling and Simulation of Energy Systems, Battery & Fuel cell, Radiative Cooling",2692,https://scholar.google.com/citations?hl=en&user=EtgoscMAAAAJ
Jatin Bedi,Indian Institute of Technology Roorkee,"Data Mining, Machine Learning, Time Series, Predictive Analytics, Big Data",2677,https://scholar.google.com/citations?hl=en&user=IBWqXUUAAAAJ
Purshottam Agrawal,Indian Institute of Technology,"Approximation Theory, Quantum Calculus, Complex Approximation",2674,https://scholar.google.com/citations?hl=en&user=U_R6OxgAAAAJ
Pankaj Agarwal,"Department of Earthquake Engineering, Indian Institute of Technology Roorkee","Earthquake Engineering, Structural Engineering",2660,https://scholar.google.com/citations?hl=en&user=S3kPnYUAAAAJ
Debabrata Sircar,Professor; Biosciences and Bioengineering Department; Indian Institute of Technology …,"Plant Metabolomics, functional genomics, SMART cell technology, plant natural product biotechnology",2652,https://scholar.google.com/citations?hl=en&user=vHNED8gAAAAJ
SARADA PRASAD PRADHAN,"Indian Institute of Technology Roorkee, India","Rock Mechanics, Engineering Geology, Geo-Mechanics, Reservoir Geology",2639,https://scholar.google.com/citations?hl=en&user=rTC50K4AAAAJ
