Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Atasi Mohanty,"Rekhi Centre of Excellence for the Science of Happiness, IIT Kharagpur, INDIA","Pedagogy, Education for Sustainability, Psychology",5033,https://scholar.google.com/citations?hl=en&user=O4q3AaUAAAAJ,33.0,42.0
Sagar Kumar,Student at Indian Institute of Technology Kharagpur,"Machine learning, Operational Research, Data Science, Artificial Intelligence",5002,https://scholar.google.com/citations?hl=en&user=8CmM9yEAAAAJ,26.0,136.0
Subhransu Roy,"Professor of Mechanical Engineering, Indian Institute of Technology Kharagpur","Heat transfer, Laser processing",4983,https://scholar.google.com/citations?hl=en&user=jKV9dZkAAAAJ,32.0,119.0
Sudipta Mukhopadhyay,"Professor of Electronics and ECE, IIT Kharagpur",Medical Image Processing,4973,https://scholar.google.com/citations?hl=en&user=3WXaNHMAAAAJ,31.0,81.0
Dr. PVSN Murthy,"Professor, Department of Mathematics, Indian Institute of Technology Kharagpur, Past …","Convection  in Porous Media, Bio-Fluid Mechanics",4963,https://scholar.google.com/citations?hl=en&user=t3z-CIfU2JEC,40.0,102.0
Satyahari Dey,Indian Institute of technology Kharagpur,"plant biotechnology, nutraceuticals, phytomedicine, prebiotics, psychobiotics",4947,https://scholar.google.com/citations?hl=en&user=9ev-3n8AAAAJ,33.0,59.0
Amal Kumar Das,"Professor of Physics, Indian Institute of Technology Kharagpur",Magnetism and Spintronics,4926,https://scholar.google.com/citations?hl=en&user=Ln8wdC4AAAAJ,32.0,122.0
Gour Gopal Roy,"Professor, Dept. of Metallurgical & materials Engineering, Indian Institute of Technology …","Modeling & simulation, ferrous extraction",4917,https://scholar.google.com/citations?hl=en&user=BD44VWEAAAAJ,32.0,80.0
SP Sarmah,"Professor . Dept. of Industrial & Systems Engineering, IIT Kharagpur, India","Logistics Management, Supply chain coordination and contract …, Inventory management, Project",4859,https://scholar.google.com/citations?hl=en&user=wlbAwwYAAAAJ,36.0,83.0
Chinmay Kumar Maiti,Ex-Professor IIT Kharagpur India,Microelectronics Nanoelectronics …,4848,https://scholar.google.com/citations?hl=en&user=BhyZkl0AAAAJ,33.0,120.0
Sudarsan Neogi,"Professor, Department of Chemical Engineering, IIT Kharagpur","Surface mofification, Plasma Technology",4816,https://scholar.google.com/citations?hl=en&user=qY1htjQAAAAJ,35.0,69.0
Jayanta Basu,"Professor of Chemical Engineering,IIT Kharagpur","Reaction Engineering, Adsorption",4798,https://scholar.google.com/citations?hl=en&user=3GsgIqAAAAAJ,38.0,79.0
Chinnaraji Annamalai,Indian Institute of Technology Kharagpur,"Computing, Networking, AI, Combinatorics, Mechanics",4771,https://scholar.google.com/citations?hl=en&user=C2SHqlkAAAAJ,32.0,161.0
Prasanta Kumar Guha,Professor at E&ECE Department of IIT Kharagpur,"Sensors, Nano Material, Energy Devices, Machine Learning, Interface Electronics",4742,https://scholar.google.com/citations?hl=en&user=siDqJV0AAAAJ,36.0,84.0
Adinpunya Mitra,"Professor, Indian Institute of Technology Kharagpur",Plant secondary metabolism,4734,https://scholar.google.com/citations?hl=en&user=888xAJMAAAAJ,39.0,93.0
