Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Lalit Goswami,"Researcher, IIT Guwahati, India","Biochemical Engineering, Environmental Engineering, Biomaterial, Resource Recovery, Ceramic Membrane",3897,https://scholar.google.com/citations?hl=en&user=VB0gKZwAAAAJ,36,66
Pallab Ghosh,"Professor of Chemical Engineering, Indian Institute of Technology Guwahati","Colloid and Interface Science, Mass Transfer, Water Purification, Reaction Engineering",3788,https://scholar.google.com/citations?hl=en&user=1NhLM7sAAAAJ,35,73
Prof. Subrata Kumar Majumder,"Department of Chemical Engineering, Indian Institute of Technology Guwahati","Multiphase flow, Process intensifications, Fluidization, Mineral Beneficiation, Energy",3774,https://scholar.google.com/citations?hl=en&user=QneBWMAAAAAJ,30,65
Venkata Dasu Veeranki,IIT Guwahati,Bioprocess Engineering,3757,https://scholar.google.com/citations?hl=en&user=KDGM_ugAAAAJ,33,85
Dr. Chivukula V. Sastri,"Department of Chemistry, Indian Institute of Technology Guwahati",Bioinorganic & Biomimetic,3749,https://scholar.google.com/citations?hl=en&user=jLu1y6sAAAAJ,31,44
Dr. Pankaj Kalita,Indian Institute of Technology Guwahati,"CFB combustion and gasification, Biogas technology, Two-phase flow and heat transfer",3734,https://scholar.google.com/citations?hl=en&user=T8N8lbYAAAAJ,33,78
Amaresh Dalal,"Professor of Department of Mechanical Engineering, Indian Institute of Technology …","Computational Fluid Dynamics and Heat …, Natural and Mixed Convection Flows, Electrochemical Energy Conversion and …",3732,https://scholar.google.com/citations?hl=en&user=dhgUamwAAAAJ,34,76
Manas Das,"Professor, IIT Guwahati","Nanofinishing, Micromachining, Micromanufacturing, Additive manufacturing",3727,https://scholar.google.com/citations?hl=en&user=G_CdCAEAAAAJ,31,83
Rajaram Swaminathan,"Professor of Biosciences and Bioengineering, Indian Institute of Technology Guwahati","Proteins, Spectroscopy, Biochemistry",3675,https://scholar.google.com/citations?hl=en&user=grSJPrsAAAAJ,24,34
Javadi Monisha,Indian Institute of Technology Guwahati,cancer biology,3659,https://scholar.google.com/citations?hl=en&user=XDfpXJEAAAAJ,24,37
