Name,Affiliation,Interests,Cited By,Profile URL
Manish K Niranjan,Indian Institute of Technology Hyderabad,Theoretical Condensed matter Physics,3974.0,https://scholar.google.com/citations?hl=en&user=L_FqZ6wAAAAJ
Kishalay Mitra,"Professor, Indian Institute of Technology Hyderabad","Machine learning in process systems …, uncertainty modeling, operations research, surrogate multi-objective optimizati",3932.0,https://scholar.google.com/citations?hl=en&user=cpR7HPQAAAAJ
Vinod Janardhanan,"Professor of Chemical Engineering, IIT Hyderabad","Electrochemical devices, Chemical kinetics, Reactor modeling",3927.0,https://scholar.google.com/citations?hl=en&user=9E6YT44AAAAJ
Mahesh Peddigari,IIT Hyderabad,"Energy storage capacitors, Ferroelectrics, Piezoelectrics, Magnetoelectrics.",3879.0,https://scholar.google.com/citations?hl=en&user=ST7W7cAAAAAJ
Sourav Das,"Assistant Professor, Indian Institute of Technology Hyderabad, India","Structural Engineering, Reliability Engineering, Machine Learning, Uncertainty Quantification",3833.0,https://scholar.google.com/citations?hl=en&user=cMf4E2AAAAAJ
Dr. Suresh Perumal,"Assistant Professor, Indian Institute of Technology Hyderabad (IITH), Kandi, Telangana …","Thermoelectrics, Electrical and Thermal Transport, Magnetic Refrigeration",3778.0,https://scholar.google.com/citations?hl=en&user=opw_tesAAAAJ
Sumohana S. Channappayya,IIT Hyderabad,"Image and Video Quality Assessment, Medical Imaging, Machine Learning",3685.0,https://scholar.google.com/citations?hl=en&user=_VCOXFwAAAAJ
S. Suriya Prakash,"Professor, IIT Hyderabad","Reinforced concrete, Prestresed concrete, Use of FRPs in Infrastructure, Condition assessment",3645.0,https://scholar.google.com/citations?hl=en&user=epk8FZMAAAAJ
Kotagiri Venkata Rao,"Associate Professor, Department of Chemistry, IIT Hyderabad","Functional Organic Materials, Supramolecular Polymers, Carbon Capture",3549.0,https://scholar.google.com/citations?hl=en&user=aX7i9NsAAAAJ
Balasubramaniam Jayaram,"Professor in Mathematics, Indian Institute of Technology Hyderabad","Connectives in Multivalued Logic, Approximate Reasoning, Issues in High Dimensional Data Analysis",3543.0,https://scholar.google.com/citations?hl=en&user=_bpGiksAAAAJ
Rajalakshmi P,"Professor, IIT Hyderabad, Project Director TiHAN-IITH","Autonomous Navigations, Autonomous Vehicles/Drones, Sensor Fusion, IoT/CPS Communications",3454.0,https://scholar.google.com/citations?hl=en&user=2EWGrU8AAAAJ
Dr. SOMNATH MAJI,Department of Chemistry   Indian institute of Technology Hyderabad,Synthetic Coordination/Bio-Inorganic …,3379.0,https://scholar.google.com/citations?hl=en&user=LR8aZUsAAAAJ
Subha Narayan Rath,Indian Institute of Technology Hyderabad,"3D printed microfluidics for anti-cancer drugs, Angio-osteo-genesis, 3D printing for osteo-skeletal",3367.0,https://scholar.google.com/citations?hl=en&user=2uAyw8AAAAAJ
Shishir Kumar,"Assistant Professor, Department of Electrical Engineering, Indian Institute of Technology …","Nanoscale objects and phenomena, Nanocarbons (Graphene, CNTs), 2D materials, Bio-chemical sensing",3347.0,https://scholar.google.com/citations?hl=en&user=-d8JyecAAAAJ
Faiz Ahmed Khan,"Professor of Chemistry, IIT Hyderabad",Organic Chemistry,3297.0,https://scholar.google.com/citations?hl=en&user=apz0hDcAAAAJ
Saurabh Kumar Singh,"Department of Chemistry, Indian Institute of Technology Hyderabad","Coordination Chemistry, Computational Chemistry, Metal-Organic Frameworks, Molecular Magnetism",3292.0,https://scholar.google.com/citations?hl=en&user=aStT8HsAAAAJ
Atul Suresh Deshpande,"Professor, Indian Institute of Technology Hyderabad","Materials Chemistry, High entropy oxides, Biomaterials, energy storage, supercapacitors",3222.0,https://scholar.google.com/citations?hl=en&user=Z0L48DwAAAAJ
Dr. Maheswaran Rathinasamy,IIT Hyderabad,"hydrological Modelling, Operational Inflow Forecasting, Stochastic Hydrology, Climate Networks",3211.0,https://scholar.google.com/citations?hl=en&user=pRvXDNoAAAAJ
Badri Narayan Rath,"Professor of Economics, Dept. of Liberal Arts, Indian Institute of Technology Hyderabad …","Applied Econometrics, Industrial Economics, International Economics, Applied Economics",3125.0,https://scholar.google.com/citations?hl=en&user=e1ieqtAAAAAJ
Mayur Vaidya,IIT Hyderabad,,3047.0,https://scholar.google.com/citations?hl=en&user=ze9AaA0AAAAJ
Prakash Mondal,Indian Institute of Technology Hyderabad,"Theoretical Linguistics, Philosophy of Language, Computational Linguistics, Cognitive Science",2950.0,https://scholar.google.com/citations?hl=en&user=ANTA8t0AAAAJ
Prof. Sunil K. Maity,"Chem. Engg., IIT Hyderabad","Heterogeneous catalysis, Biofuel, biorefinery, renewable chemical, Pinch & Techno-economic analysis",2947.0,https://scholar.google.com/citations?hl=en&user=Ri_QRosAAAAJ
abhinav kumar,"Professor, Indian Institute of Technology Hyderabad, India","Wireless Communications, Wireless Networks, Internet-of-Things, Resource Allocation, Visible Light-based Communications",2932.0,https://scholar.google.com/citations?hl=en&user=kVHpPOcAAAAJ
Gangadharan Raju,"Department of Mechanical and Aerospace Engineering, Indian Institute of Technology …","Variable angle tow composites, Buckling and Postbuckling analysis, Optimization of composite structures, Structural health monit",2925.0,https://scholar.google.com/citations?hl=en&user=JbMFXzwAAAAJ
Dr. Prem Pal,"Professor (HAG), Dept. of Physics, IIT Hyderabad, India","Condensed Matter Physics, MEMS, Silicon & Glass Micromachining, MEMS-based sensors",2922.0,https://scholar.google.com/citations?hl=en&user=aO3YnC0AAAAJ
Somnath Maji,Department of Chemistry Indian institute of Technology Hyderabad,Synthetic Coordination/Bio-Inorganic …,2875.0,https://scholar.google.com/citations?hl=en&user=KuWHM5UAAAAJ
Prabheesh kp,"Professor of Economics, Dept. of Liberal Arts, Indian Institute of Technology Hyderabad","Macroeconomics, International Finance and trade, applied econometrics",2850.0,https://scholar.google.com/citations?hl=en&user=k4mNxVUAAAAJ
Bheemarjuna Reddy Tamma,"Professor, Dept. of Computer Science and Engg, IIT Hyderabad, India","Wireless Networks, SDN/NFV in 5G and Beyond, XR, V2X, Network Security using AI/ML",2828.0,https://scholar.google.com/citations?hl=en&user=FYHCD2kAAAAJ
Anup Bhunia,Indian Institute of Technology Hyderabad,Organic Chemistry,2815.0,https://scholar.google.com/citations?hl=en&user=m_D0j0cAAAAJ
Dr. Syed Thouheed Ahmed,"Post.Doc'24. IIT Hyderabad | World's Top 2% Scientist | Associate Professor, REVA …","Recommendation Systems, Telemedicine, Prompt Engineering, Protocol Engineering, 5G/6G",2801.0,https://scholar.google.com/citations?hl=en&user=3OU71eoAAAAJ
Dr. Jyoti Ranjan Mohanty,"Professor, Dept. of Physics, IIT Hyderabad, India","Nanomagnetism, Nanoscale Magnetic Imaging, Ultrafast Magnetism, Multiferroics and Micromagnetics",2765.0,https://scholar.google.com/citations?hl=en&user=YfObc2cAAAAJ
Suryakumar S,"Professor, Dept of Mechanical Engg, IIT Hyderabad",Additive Manufacturing,2756.0,https://scholar.google.com/citations?hl=en&user=w96dWzQAAAAJ
Sri Rama Murty K,"Professor, IIT Hyderabad",Speech Signal Processing,2748.0,https://scholar.google.com/citations?hl=en&user=PMHlwxQAAAAJ
Saravanan Balusamy,"Professor, Department of Mechanical and Aerospace Engineering, IIT Hyderabad",Combustion,2654.0,https://scholar.google.com/citations?hl=en&user=iAA7mmsAAAAJ
Ramji Manoharan,IIT Hyderabad,Experimental Mechanics,2648.0,https://scholar.google.com/citations?hl=en&user=wfGKklgAAAAJ
Dr Anamika Bhargava,"IIT Hyderabad, Indian Institute of Technology Hyderabad, IITH","Calcium signalling, Ion channel Biology, cell biology, toxicology, zebrafish models",2627.0,https://scholar.google.com/citations?hl=en&user=PfDpdzgAAAAJ
Siva Vanjari,"Professor, Department of Electrical Engineering, Indian Institute of Technology Hyderabad","Sensors, nanotechnology, RF, 3D IC, nanobiosensors",2557.0,https://scholar.google.com/citations?hl=en&user=oVyJtc8AAAAJ
Kiran Kuchi,"Professor, Indian Institute of Technology Hyderabad","Communications, Signal processing",2554.0,https://scholar.google.com/citations?hl=en&user=W5mANsEAAAAJ
Dr. Priyadarshi Chakraborty,"Assistant Professor, Department of Chemistry, IIT Hyderabad","Supramolecular Chemistry, Conductive polymers, Biomaterials, Tissue Engineering, Drug Delivery",2399.0,https://scholar.google.com/citations?hl=en&user=dUyayJMAAAAJ
Mudrika Khandelwal,Indian Institute of Technology Hyderabad,,2380.0,https://scholar.google.com/citations?hl=en&user=BI-atz8AAAAJ
B Munwar Basha,"Professor and  Dean Planning, Department of Civil Engineering,  IIT Hyderabad","Geotechnical Eng, Geoenvironmental Eng, Retaining Structures, Reliability Based Design",2308.0,https://scholar.google.com/citations?hl=en&user=sjWt_dYAAAAJ
Soumya Jana,"Professor, Electrical Engineering, IIT Hyderabad","Biomedical signal and image processing, multimedia signal processing, network information theory, statistical modeling",2282.0,https://scholar.google.com/citations?hl=en&user=IesfuI4AAAAJ
Debaprasad Shee,"Professor of Chemical Engineering, Indian Institute of Technology Hyderabad","Heterogeneous Catalysis, Catalysis over Metal and metal oxide, Fuels and Chemicals from Renewable",2260.0,https://scholar.google.com/citations?hl=en&user=hu3cTE8AAAAJ
Prof Dr G Prabusankar,IIT Hyderabad,Organometallic Chemistry,2214.0,https://scholar.google.com/citations?hl=en&user=S6syj8EAAAAJ
Bhabani S. Mallik,"Professor, Department of Chemistry, Indian Institute of Technology Hyderabad","Comp. Chem., AI & ML, Energy - Electrode Electrolyte, Catalysis - HER OER NRR CO2RR LOHC",2203.0,https://scholar.google.com/citations?hl=en&user=KKmq-CAAAAAJ
Basant K Patel,"Professor of Biotechnology, IIT Hyderabad","Protein misfolding, TDP-43, Amyloids, Yeast Prions, Chaperones",2160.0,https://scholar.google.com/citations?hl=en&user=Boh2iMkAAAAJ
MSS Bharathi,"NPDF, Indian Institute of Technology Hyderabad","flexible photodetector, SERS, laser ablation",2151.0,https://scholar.google.com/citations?hl=en&user=BKv1zKQAAAAJ
Satyavrata Samavedi,"Associate Professor, Chemical Engineering, IIT Hyderabad","Polymeric biomaterials, Electrospinning, Controlled release, Drug formulations, Inflammation",2128.0,https://scholar.google.com/citations?hl=en&user=NR06GUwAAAAJ
Saptarshi Majumdar,"Professor, Indian Institute of Technology, Hyderabad, India","Polymers, Multi-scale, Bio-materials",2107.0,https://scholar.google.com/citations?hl=en&user=mrHiONUAAAAJ
Nithyanandan Kanagaraj,"Indian Institute of Technology, Hyderabad","Nonlinear Optics, Ultrafast  Lasers and Photonics, Complex Systems and Dynamics",2100.0,https://scholar.google.com/citations?hl=en&user=7gVF2rEAAAAJ
Arabinda Haldar,"Department of Physics, IIT Hyderabad, India","Magnon spintronics, Brillouin Light Scattering, Nanofabrication, Nanomagnetic devices",2080.0,https://scholar.google.com/citations?hl=en&user=rGcjZqkAAAAJ
"Mahendrakumar Madhavan PE, CEng., F.SEI., FICE., F.ASCE., FIStructE","Professor of Civil Engineering, IIT Hyderabad","Steel Structures, Thin-walled Structures, Plate Girders, Retrofitting of Steel Structures, CFRP",2077.0,https://scholar.google.com/citations?hl=en&user=ry1fX50AAAAJ
Dr Mayukh Pahari,"Indian Institute of Technology, Hyderabad","AGN, X-ray binaries, black holes, multi-wavelength astronomy, accretion physics",2035.0,https://scholar.google.com/citations?hl=en&user=5VqsqBkAAAAJ
Bharat B. Panigrahi,"Materials Science and Metallurgical Engg, Indian Institute of Technology Hyderabad","Powder Metallurgy & Sintering, Nanocrystalline Materials, High Entropy Alloys & Intermetallics, MAX Phases & Composites",1992.0,https://scholar.google.com/citations?hl=en&user=MBPGDpQAAAAJ
Muvvala Gopinath,"Assistant Professor, Department of Mechanical and Aerospace Engineering, IIT Hyderabad",Laser Material Processing & Laser Additive …,1982.0,https://scholar.google.com/citations?hl=en&user=ZrUNJAYAAAAJ
Vishnu Rajasekharan Unni,"Dept. Mechanical and Aerospace Engineering, Indian Institute of Technology Hyderabad","Thermoacoustics, Turbulence, Dynamical System Theory, Data Driven Models",1958.0,https://scholar.google.com/citations?hl=en&user=xCwczkYAAAAJ
Antony Franklin,"Professor, Department of Computer Science and Engineering, IIT Hyderabad","Mobile Networks (5G), Internet of Things, Cloud Computing, Wireless Mesh Networks, Cognitive Radio",1912.0,https://scholar.google.com/citations?hl=en&user=6Jxd9Z8AAAAJ
Anurag Tripathi,IIT Hyderabad,"Theoretical High Energy Physics, Perturbative Quantum Chromodynamics",1894.0,https://scholar.google.com/citations?hl=en&user=tBGIdP8AAAAJ
Saswata Bhattacharya,Indian Institute of Technology Hyderabad,"Phase transformations, phase-field models, phenomenological modeling of ferroelectrics, multiferroics, micromechanics",1880.0,https://scholar.google.com/citations?hl=en&user=i9VAh7sAAAAJ
B Umashankar,"Professor, IIT Hyderabad",Geotechnical Engineering,1863.0,https://scholar.google.com/citations?hl=en&user=8Gl1G1EAAAAJ
Debraj Bhattacharyya,"Professor, IIT Hyderabad","Water & Wastewater Treatment, Waste, Sludge, and Biomass Valorization, CO2 Capture and Utilization",1862.0,https://scholar.google.com/citations?hl=en&user=g-8YuysAAAAJ
Suhanya Duraiswamy,"Chemical Engineering, IIT Hyderabad, India","Microfluidics, Nanotechnology, Biodiagnostics, Infectious Diseases",1857.0,https://scholar.google.com/citations?hl=en&user=WHCyNkIAAAAJ
Satish Regonda,"Associate Professor, IIT Hyderabad","Urban Climate, Urban Floods, Riverine Floods, Hydrologic modeling, Statistics",1854.0,https://scholar.google.com/citations?hl=en&user=cTXdUlUAAAAJ
Anuj Goyal,Assistant Professor IIT Hyderabad,Computational Materials Science,1853.0,https://scholar.google.com/citations?hl=en&user=gA3HkFIAAAAJ
Digvijay Sampatrao Pawar,"Associate Professor, IIT Hyderabad","Traffic Operation and Simulation, ITS, Traffic Safety",1843.0,https://scholar.google.com/citations?hl=en&user=KOwRhZQAAAAJ
Sai Rama Krishna Malladi,"Indian Institute of Technology, Hyderabad",Electron Microscopy,1832.0,https://scholar.google.com/citations?hl=en&user=FtowR08AAAAJ
Bushra Praveen,"Department of Economics, Indian Institute of Technology Hyderabad","Climate Change, Agriculture Economics, Remote Sensing and GIS, Green Finance & Green Energy",1830.0,https://scholar.google.com/citations?hl=en&user=hJcHAogAAAAJ
