Name,Affiliation,Interests,Cited By,Profile URL
Somnath Sengupta,"Assistant Professor, IIT Kharagpur",Dynamics and Control of Automotive Systems,331,https://scholar.google.com/citations?hl=en&user=Yfq0VUkAAAAJ
Laxmi Kant Dhruw,IIT Kharagpur,Precision agriculture,330,https://scholar.google.com/citations?hl=en&user=U7mseWIAAAAJ
Emmanuel Sebastian Kunnel,PhD Scholar @ Chemical Engineering - IIT Kharagpur,"biopolymers, energy and environment, catalysis, advanced oxidation processes, nanomaterials",330,https://scholar.google.com/citations?hl=en&user=Sq7csPQAAAAJ
Abhijit Das,"Assistant Professor, IIT Kharagpur","Neurobiology, Behaviour, Epigenetics",329,https://scholar.google.com/citations?hl=en&user=iu2y1nsAAAAJ
Prasun Mishra,"Assistant Professor, Indian Institute of Technology Kharagpur","Design of Power Converters, Advanced Control of Electric Drives for …",327,https://scholar.google.com/citations?hl=en&user=eAVcEjkAAAAJ
sarang pendharker,Indian Institute of Technology Kharagpur,"Photonics, Electromagnetic wave theory, Reconfigurable microwave devices",327,https://scholar.google.com/citations?hl=en&user=KIv8gpUAAAAJ
Dr. Rishi Karan Singh Rathour,"Ernst & Young LLP, IIT Kharagpur, NIT Durgapur.","Environmental engineering, Graphene oxide, Wastewater Treatment",326,https://scholar.google.com/citations?hl=en&user=wvDwu4EAAAAJ
Deepshikha Dash,Indian Institute of Technology Kharagpur,"Economics of Education, Machine Learning, AI, Econometrics",326,https://scholar.google.com/citations?hl=en&user=7mHQcBwAAAAJ
Nabakumar Jana,"Department of Mathematics, Indian Institute of Technology Kharagpur, India","Statistical Inference, Classification Problems, Reliability Estimation",325,https://scholar.google.com/citations?hl=en&user=K4TiRyUAAAAJ
Debanjana Pahari,"PhD Research Scholar, Indian Institute of Technology Kharagpur, Kharagpur, India",Sodium-Ion Batteries,323,https://scholar.google.com/citations?hl=en&user=2xEWxZEAAAAJ
Aditya Vyas,"Assistant Professor, Indian Institute of Technology Kharagpur , India","AI/ML Applications in Petroleum Reservoir …, Enhanced Oil Recovery and CCUS",323,https://scholar.google.com/citations?hl=en&user=nNymmkQAAAAJ
Nairita Pal,"Assistant Professor, CORAL, IIT Kharagpur","Physics, Turbulence Modeling, Direct Numerical Siulations",321,https://scholar.google.com/citations?hl=en&user=Xcbs1gMAAAAJ
Bhupinder Kaur,"Research Scholar, Indian Institute of Technology Kharagpur",Agricultural waste utilization,319,https://scholar.google.com/citations?hl=en&user=u5-3VHIAAAAJ
Monisha Michael,Indian Institute of Technology Kharagpur,"Nanofluids, Heat transfer",319,https://scholar.google.com/citations?hl=en&user=BULk2EQAAAAJ
Puja Priyadarshini Nayak,"Research scholar, Agricultural & Food Engineering Department, IIT Kharagpur","Food Process Engineering, Agricultural Waste Utilization",318,https://scholar.google.com/citations?hl=en&user=eIi8i-0AAAAJ
Dr. Vihangraj V. Kulkarni,"Assistant Professor, Indian Institute of Technology Kharagpur, India","Environmental Engineering, Waste Management, Water and Wastewater",318,https://scholar.google.com/citations?hl=en&user=TjqGHTEAAAAJ
Dr. Vinod Choudhary,Indian Institute of Technology Kharagpur,"Agricultural Machinery, Mechanization, Precision Agriculture, AI in Agriculture, Machine Vision",317,https://scholar.google.com/citations?hl=en&user=iY2SyjcAAAAJ
"Arshad Rahman Parathodika, Ph.D.","Research Fellow, IIT  Kharagpur","Polymers for Oil & Gas | Hydrogen | CCUS, Crosslinks, Viscoelasticity, Elastomers",316,https://scholar.google.com/citations?hl=en&user=sXK-kWoAAAAJ
Ambarish Paul,"IIT, Kharagpur",Nanoscience and Nanotechnology,315,https://scholar.google.com/citations?hl=en&user=vyLVK1EAAAAJ
Smitirupa Pradhan,Indian Institute of Technology Kharagpur,"Dynamics of Railway vehicles, Tribology",315,https://scholar.google.com/citations?hl=en&user=QyREH0EAAAAJ
Suvendu Nandi,Research Scholar: IIT Kharagpur,"Drug Design, Cancer Drug Discovery, Biomaterials",315,https://scholar.google.com/citations?hl=en&user=nD7umFoAAAAJ
Shaili Sett,"Assistant Professor, IIT Kharagpur",Condensed matter physics,314,https://scholar.google.com/citations?hl=en&user=5vPAFGoAAAAJ
Alfa Bisoi,"Research scholar, IIT Kharagpur",Dynamics and Vibration,313,https://scholar.google.com/citations?hl=en&user=rQJ0LkkAAAAJ
Vaisakh Vadakkumbatt,IIT Kharagpur,"Superfluid Helium, Lowtemperature Physics",311,https://scholar.google.com/citations?hl=en&user=z3phB40AAAAJ
Akash Tripathi,"Research Scholar, IIT Kharagpur","Environmental Engineering, Advance oxidation process, Pyrolysis, emerging contaminants",311,https://scholar.google.com/citations?hl=en&user=igLUZZsAAAAJ
Debranjan Mukherjee,"Assistant Professor, Indian Institute of Technology Kharagpur","Power Electronics, Electrical Machine Drives",309,https://scholar.google.com/citations?hl=en&user=VYaRfNsAAAAJ
Sai Charan M,"Student, Indian Institute of Technology Kharagpur",,308,https://scholar.google.com/citations?hl=en&user=zRvZCa8AAAAJ
Saptarshi Dey,Indian Institute of Technology Kharagpur,"tectonic geomorphology, earth surface processes, sedimentology, field geology, geoarchaeology",307,https://scholar.google.com/citations?hl=en&user=2TCCFhgAAAAJ
Dr. Satanik Mitra,"PhD IIT Kharagpur, Assistant Professor","Natural Language Processing, Sentiment Analysis, Text Mining, Consumer Perception",307,https://scholar.google.com/citations?hl=en&user=gGYCB3wAAAAJ
Sumanta Bera,"Student of IIT Kharagpur, India","Polymer, Piezoelectric, Triboelectric, Composite",306,https://scholar.google.com/citations?hl=en&user=vH7rJAgAAAAJ
Rahul K,Indian Institute of Technology Kharagpur,"Robotics, Machine Learning, Image Processing, Sensor Integration",306,https://scholar.google.com/citations?hl=en&user=QvFKg9oAAAAJ
Susmita Bhattacharyya,"Assistant Professor, IIT Kharagpur, India",Navigation,301,https://scholar.google.com/citations?hl=en&user=b3_c8XEAAAAJ
Prakash Kumar,"Research Scholar, IIT-Kharagpur","Food Process Engineering, Food Packaging, Drying, Food Product Development, Finite Element Modeling",295,https://scholar.google.com/citations?hl=en&user=shGCQpsAAAAJ
Rupal Sinha,"Research Scholar, School of Water Resources, IIT Kharagpur","Water Treatment, Disinfection Byproducts, Modeling",295,https://scholar.google.com/citations?hl=en&user=MNrAb8wAAAAJ
Ambuj,Indian Institute of Technology Kharagpur,"Artificial Intelligence, Artificial Neural Network, Path Planning, Autonomous Navigation",295,https://scholar.google.com/citations?hl=en&user=jdTiWI8AAAAJ
MANOJIT DAS,PhD Scholar IIT Kharagpur,"Machinability, 3D Printing, Optimiztion, Smart Materials",293,https://scholar.google.com/citations?hl=en&user=3KfFtGsAAAAJ
shubham patel,IIT KHARAGPUR,"air pollution, aerosols, emission inventory, solid waste",292,https://scholar.google.com/citations?hl=en&user=CpBtO9UAAAAJ
Shimul K. Dam,"Assistant Professor, IIT Kharagpur",Power Electronics,291,https://scholar.google.com/citations?hl=en&user=LRMlRNMAAAAJ
Subhas Mondal,iit kharagpur,wireless communication,289,https://scholar.google.com/citations?hl=en&user=560_JFYAAAAJ
Rohit Dutta,"PhD CSE @ Indian Institute of Technology, Kharagpur '23 - 25","Natural Language Processing, Sustainable AI",288,https://scholar.google.com/citations?hl=en&user=ID4lfNgAAAAJ
Bodhayan Roy,Indian Institute of Technology Kharagpur,Theoretical Computer Science,287,https://scholar.google.com/citations?hl=en&user=mmIc6VgAAAAJ
Dr.Jagriti Singh,"Ph.D-IIT Kharagpur, Post-Doc-BHU","Food Biotechnology, Downstream processing, Biofuels, Biochemical engineering, Plant Tissue Culture",286,https://scholar.google.com/citations?hl=en&user=gyL_Ob4AAAAJ
